run,fit1,node1,fit2,node2
1,5671203,-1.47978_4.48991_2.50000_1.50504_-3.46957,3438002,-2.50210_-0.50660_3.48439_-0.50660_-3.49986
1,3438002,-2.50210_-0.50660_3.48439_-0.50660_-3.49986,2994558,-3.49986_0.49115_1.48890_0.49115_-2.50210
1,2994558,-3.49986_0.49115_1.48890_0.49115_-2.50210,2689740,-3.49986_-0.50660_1.48890_0.49115_-2.50211
1,2689740,-3.49986_-0.50660_1.48890_0.49115_-2.50211,1902725,-1.50435_-1.50435_0.49115_-0.50660_-3.49986
1,1902725,-1.50435_-1.50435_0.49115_-0.50660_-3.49986,1814036,-1.50435_-2.50211_-0.50660_0.49115_-2.50210
1,1814036,-1.50435_-2.50211_-0.50660_0.49115_-2.50210,1814036,0.49115_-2.50211_-2.50210_-0.50660_-1.50435
1,1814036,0.49115_-2.50211_-2.50210_-0.50660_-1.50435,1775285,-0.50660_-2.50210_-3.49986_0.49115_-1.50435
1,1775285,-0.50660_-2.50210_-3.49986_0.49115_-1.50435,1254337,-1.50435_-1.50435_-3.49986_-0.50660_-2.50210
1,1254337,-1.50435_-1.50435_-3.49986_-0.50660_-2.50210,1176835,-0.50660_-2.50210_-4.49761_-1.50435_-2.50210
1,1176835,-0.50660_-2.50210_-4.49761_-1.50435_-2.50210,1126896,-1.50435_-3.49986_-2.50211_-2.50211_-0.50660
1,1126896,-1.50435_-3.49986_-2.50211_-2.50211_-0.50660,910767,-1.50435_-2.50210_-3.49986_-2.50211_-1.50435
1,910767,-1.50435_-2.50210_-3.49986_-2.50211_-1.50435,744576,-1.50435_-2.50210_-3.49986_-3.49986_-2.50210
1,744576,-1.50435_-2.50210_-3.49986_-3.49986_-2.50210,667073,-2.50210_-2.50210_-3.49986_-4.49761_-2.50211
1,667073,-2.50210_-2.50210_-3.49986_-4.49761_-2.50211,628322,-2.50211_-2.50211_-3.49986_-4.49761_-3.49986
1,628322,-2.50211_-2.50211_-3.49986_-4.49761_-3.49986,589571,-3.49986_-2.50210_-3.49986_-4.49761_-3.49986
1,589571,-3.49986_-2.50210_-3.49986_-4.49761_-3.49986,578384,-2.50210_-2.50210_-3.49986_-3.49986_-3.49986
1,578384,-2.50210_-2.50210_-3.49986_-3.49986_-3.49986,578384,-2.50210_-2.50210_-3.49986_-3.49986_-3.49986
1,578384,-2.50210_-2.50210_-3.49986_-3.49986_-3.49986,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986
1,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986
1,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986
1,578384,-2.50210_-3.49986_-3.49986_-2.50210_-3.49986,578384,-3.49986_-3.49986_-3.49986_-2.50210_-2.50210
1,578384,-3.49986_-3.49986_-3.49986_-2.50210_-2.50210,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
1,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,3881447,-3.49986_3.48439_1.48891_-1.50435_-3.49986,3349314,-2.50209_2.48666_1.48887_-1.50435_-3.49985
2,3349314,-2.50209_2.48666_1.48887_-1.50435_-3.49985,2878304,-2.50210_2.48665_0.49115_-2.50210_-4.49761
2,2878304,-2.50210_2.48665_0.49115_-2.50210_-4.49761,2573486,-2.50211_2.48665_-0.50660_-2.50210_-4.49761
2,2573486,-2.50211_2.48665_-0.50660_-2.50210_-4.49761,2495984,-3.49986_-0.50660_2.48665_-3.49986_-4.49761
2,2495984,-3.49986_-0.50660_2.48665_-3.49986_-4.49761,2484797,-3.49986_0.49115_1.48890_-1.50435_-4.49761
2,2484797,-3.49986_0.49115_1.48890_-1.50435_-4.49761,1659031,-4.49761_-0.50660_0.49115_-3.49986_-2.50210
2,1659031,-4.49761_-0.50660_0.49115_-3.49986_-2.50210,1647844,-3.49986_-0.50660_0.49115_-2.50210_-2.50210
2,1647844,-3.49986_-0.50660_0.49115_-2.50210_-2.50210,1559155,-3.49986_-1.50435_0.49115_-2.50210_-1.50435
2,1559155,-3.49986_-1.50435_0.49115_-2.50210_-1.50435,1420528,-2.50210_-1.50435_-0.50660_-1.50435_-1.50435
2,1420528,-2.50210_-1.50435_-0.50660_-1.50435_-1.50435,1165648,-2.50210_-2.50210_-1.50435_-2.50210_-0.50660
2,1165648,-2.50210_-2.50210_-1.50435_-2.50210_-0.50660,910767,-3.49986_-2.50210_-1.50435_-2.50210_-1.50435
2,910767,-3.49986_-2.50210_-1.50435_-2.50210_-1.50435,910767,-3.49986_-2.50210_-1.50435_-1.50435_-2.50210
2,910767,-3.49986_-2.50210_-1.50435_-1.50435_-2.50210,744576,-3.49986_-3.49986_-2.50211_-1.50435_-2.50211
2,744576,-3.49986_-3.49986_-2.50211_-1.50435_-2.50211,667073,-4.49761_-3.49986_-2.50211_-2.50210_-2.50211
2,667073,-4.49761_-3.49986_-2.50211_-2.50210_-2.50211,655886,-3.49986_-2.50210_-2.50210_-2.50210_-2.50210
2,655886,-3.49986_-2.50210_-2.50210_-2.50210_-2.50210,655886,-3.49986_-2.50210_-2.50210_-2.50210_-2.50210
2,655886,-3.49986_-2.50210_-2.50210_-2.50210_-2.50210,578384,-3.49986_-3.49986_-2.50210_-3.49986_-2.50210
2,578384,-3.49986_-3.49986_-2.50210_-3.49986_-2.50210,539633,-3.49986_-2.50210_-3.49986_-3.49986_-3.49986
2,539633,-3.49986_-2.50210_-3.49986_-3.49986_-3.49986,539633,-3.49986_-2.50210_-3.49986_-3.49986_-3.49986
2,539633,-3.49986_-2.50210_-3.49986_-3.49986_-3.49986,539633,-3.49986_-3.49986_-3.49986_-3.49986_-2.50210
2,539633,-3.49986_-3.49986_-3.49986_-3.49986_-2.50210,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
2,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986,500882,-3.49986_-3.49986_-3.49986_-3.49986_-3.49986
