run,fit1,node1,fit2,node2
1,195277,-7.9996_29.9986_14.9993_5.9997_-22.9989,195221,-8.9996_28.9986_15.9992_5.9997_-22.9989
1,195221,-8.9996_28.9986_15.9992_5.9997_-22.9989,194088,-10.9993_24.9984_15.9990_7.9995_-21.9986
1,194088,-10.9993_24.9984_15.9990_7.9995_-21.9986,193317,-10.9992_23.9982_14.9989_8.9993_-20.9985
1,193317,-10.9992_23.9982_14.9989_8.9993_-20.9985,191887,-9.9990_23.9977_11.9989_7.9992_-19.9981
1,191887,-9.9990_23.9977_11.9989_7.9992_-19.9981,189214,-7.9989_21.9970_10.9985_5.9992_-18.9974
1,189214,-7.9989_21.9970_10.9985_5.9992_-18.9974,185434,-8.9981_18.9961_11.9975_3.9992_-15.9967
1,185434,-8.9981_18.9961_11.9975_3.9992_-15.9967,183806,-7.9981_17.9957_10.9973_4.9988_-15.9962
1,183806,-7.9981_17.9957_10.9973_4.9988_-15.9962,139084,-1.9962_1.9962_0.0000_-0.0000_-12.9750
1,139084,-1.9962_1.9962_0.0000_-0.0000_-12.9750,58176,-1.9687_0.9844_-0.9844_2.9527_0.0000
1,58176,-1.9687_0.9844_-0.9844_2.9527_0.0000,41671,-1.9481_-0.9744_0.9744_0.0000_-0.9744
1,41671,-1.9481_-0.9744_0.9744_0.0000_-0.9744,35740,0.0000_0.9684_-0.0000_-0.0000_-1.9356
1,35740,0.0000_0.9684_-0.0000_-0.0000_-1.9356,16462,-0.0000_-0.0000_0.9175_0.0000_0.0000
1,16462,-0.0000_-0.0000_0.9175_0.0000_0.0000,0,0.0000_0.0000_0.0000_-0.0000_-0.0000
1,0,0.0000_0.0000_0.0000_-0.0000_-0.0000,0,-0.0000_-0.0000_-0.0000_-0.0000_-0.0000
1,0,-0.0000_-0.0000_-0.0000_-0.0000_-0.0000,0,0.0000_-0.0000_-0.0000_0.0000_0.0000
1,0,0.0000_-0.0000_-0.0000_0.0000_0.0000,0,-0.0000_0.0000_-0.0000_0.0000_0.0000
2,196507,-26.9991_17.9994_22.9993_-20.9993_-4.9998,196277,-26.9991_17.9994_20.9993_-20.9993_-6.9997
2,196277,-26.9991_17.9994_20.9993_-20.9993_-6.9997,196186,-25.9991_16.9994_22.9992_-20.9992_-4.9998
2,196186,-25.9991_16.9994_22.9992_-20.9992_-4.9998,195828,-25.9990_16.9993_20.9992_-20.9992_-4.9998
2,195828,-25.9990_16.9993_20.9992_-20.9992_-4.9998,195828,-25.9990_16.9993_20.9992_-20.9992_-4.9998
2,195828,-25.9990_16.9993_20.9992_-20.9992_-4.9998,195516,-23.9990_18.9992_20.9991_-19.9991_-4.9998
2,195516,-23.9990_18.9992_20.9991_-19.9991_-4.9998,195444,-23.9989_18.9991_18.9991_-20.9991_-6.9997
2,195444,-23.9989_18.9991_18.9991_-20.9991_-6.9997,194492,-22.9987_17.9990_17.9990_-19.9989_-5.9997
