run,fit1,node1,fit2,node2
1,397014,-1.4889_4.4976_2.5021_1.5044_-3.4844,392020,-1.4889_3.4999_2.5021_1.5044_-3.4844
1,392020,-1.4889_3.4999_2.5021_1.5044_-3.4844,338806,-1.4889_2.5021_1.5044_2.5021_-2.4866
1,338806,-1.4889_2.5021_1.5044_2.5021_-2.4866,198991,1.5050_2.5000_-0.4849_1.5050_-0.4849
1,198991,1.5050_2.5000_-0.4849_1.5050_-0.4849,139294,2.5000_3.4950_0.5101_2.5000_-0.4849
1,139294,2.5000_3.4950_0.5101_2.5000_-0.4849,72820,2.5021_4.4976_4.4976_2.5021_4.4976
1,72820,2.5021_4.4976_4.4976_2.5021_4.4976,29849,3.4950_2.5000_2.5000_3.4950_3.4950
1,29849,3.4950_2.5000_2.5000_3.4950_3.4950,9950,3.4950_2.5000_2.5000_2.5000_2.5000
1,9950,3.4950_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
1,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
1,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
1,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
1,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
2,614261,-4.4821_1.5044_1.5044_-3.4844_0.5066,579904,-4.4821_1.5044_2.5021_-3.4844_1.5044
2,579904,-4.4821_1.5044_2.5021_-3.4844_1.5044,461852,-2.4866_0.5066_3.4998_-3.4844_2.5021
2,461852,-2.4866_0.5066_3.4998_-3.4844_2.5021,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044
2,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044
2,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044
2,434127,-0.4912_-0.4912_1.5044_-3.4844_1.5044,189042,2.5000_2.5000_1.5050_-0.4849_-0.4849
2,189042,2.5000_2.5000_1.5050_-0.4849_-0.4849,139294,1.5050_1.5050_0.5101_0.5101_0.5101
2,139294,1.5050_1.5050_0.5101_0.5101_0.5101,119395,2.5000_2.5000_0.5101_0.5101_0.5101
