run,fit1,node1,fit2,node2
1,4974759,1.98991_4.97469_-0.99496_-1.98991_-3.97978,2984864,0.00000_1.98991_0.99496_-2.98486_-3.97978
1,2984864,0.00000_1.98991_0.99496_-2.98486_-3.97978,2288399,-2.98485_2.98485_-1.98991_0.99495_0.00000
1,2288399,-2.98485_2.98485_-1.98991_0.99495_0.00000,1492435,-0.99496_0.99496_-2.98486_0.00000_-1.98991
1,1492435,-0.99496_0.99496_-2.98486_0.00000_-1.98991,1293445,0.00000_1.98991_-1.98991_0.99496_-1.98991
1,1293445,0.00000_1.98991_-1.98991_0.99496_-1.98991,298488,0.00000_0.99496_-0.99496_0.00000_-0.99496
1,298488,0.00000_0.99496_-0.99496_0.00000_-0.99496,198992,0.00000_0.00000_0.00000_0.99496_-0.99496
1,198992,0.00000_0.00000_0.00000_0.99496_-0.99496,198992,0.99496_0.00000_0.00000_0.00000_-0.99496
1,198992,0.99496_0.00000_0.00000_0.00000_-0.99496,99496,0.00000_0.00000_0.00000_0.00000_-0.99496
1,99496,0.00000_0.00000_0.00000_0.00000_-0.99496,99496,0.00000_0.00000_0.00000_0.00000_-0.99496
1,99496,0.00000_0.00000_0.00000_0.00000_-0.99496,99496,0.00000_0.00000_0.00000_0.00000_-0.99496
1,99496,0.00000_0.00000_0.00000_0.00000_-0.99496,99496,0.00000_0.00000_-0.99496_0.00000_0.00000
1,99496,0.00000_0.00000_-0.99496_0.00000_0.00000,99496,0.00000_0.00000_0.00000_0.00000_0.99496
1,99496,0.00000_0.00000_0.00000_0.00000_0.99496,99496,0.00000_0.00000_0.00000_0.00000_0.99496
1,99496,0.00000_0.00000_0.00000_0.00000_0.99496,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
1,99496,-0.99496_0.00000_0.00000_0.00000_0.00000,99496,-0.99496_0.00000_0.00000_0.00000_0.00000
2,4974759,4.97469_3.97978_0.99496_1.98991_-1.98991,1691426,1.98991_2.98486_1.98991_0.00000_0.00000
2,1691426,1.98991_2.98486_1.98991_0.00000_0.00000,1591931,1.98991_2.98486_0.99496_-0.99496_0.99496
2,1591931,1.98991_2.98486_0.99496_-0.99496_0.99496,994958,1.98991_1.98991_0.99496_0.00000_0.99496
2,994958,1.98991_1.98991_0.99496_0.00000_0.99496,497479,1.98991_0.00000_0.00000_0.99496_0.00000
